Brand,Vendor Code,Vendor Name,Vendor Type,Vendor Address,Vendor City,Vendor State,Vendor Pin,Vendor Email,Vendor Phone
Rashi,7100000742,Rashi Peripherals Pvt Ltd   MH Kar,Brand Call-Log,,,,,,
Preethi,7100000749,Preethi Kitchen Appliances P L Kar,Brand Call-Log,,,,,,
Philips,7100000756,Philips Electronics  Appliances Kar,Brand Call-Log,,,,,,
Panasonic,7100000765,Panasonic Appl India Co Ltd Kar,Brand Call-Log,,,,,,
Panasonic,7100000774,Panasonic India Private Ltd Kar,Brand Call-Log,,,,,,
LG,7100000793,LG Electronics India Pvt Ltd Kar,Brand Call-Log,,,,,,
LG,7100000802,LG Electronics I Pvt Ltd    GSM Kar,Brand Call-Log,,,,,,
Lava,7100000811,Lava International Ltd Kar,Brand Call-Log,,,,,,
Kent,7100000820,Kent RO Systems Limited Kar,Brand Call-Log,,,,,,
Kay kay,7100000827,Kay Kay Overseas Corporation Kar,Brand Call-Log,,,,,,
Johnson,7100000835,Johnson Controls-Hitachi Air Kar,Brand Call-Log,,,,,,
Inter,7100000840,Inter Foto India Pvt Ltd Kar,Brand Call-Log,,,,,,
INGRAM,7100000841,Ingram Micro India Ltd Mah,Brand Call-Log,,,,,,
HP,7100000843,Ingram Micro India Ltd Tel,Brand Call-Log,,,,,,
Ingram,7100000846,Ingram Micro India Ltd Kar,Brand Call-Log,,,,,,
Lenovo,7100000847,Ingram Micro India Ltd Tam,Brand Call-Log,,,,,,
IFB,7100000855,IFB Industries Ltd Kar,Brand Call-Log,,,,,,
Hyson,7100000862,Hyson System Ltd Kar,Brand Call-Log,,,,,,
HCL,7100000873,HCL Infosystems Limited Kar,Brand Call-Log,,,,,,
HCL,7100000882,HCL Infosystems Limited Kar,Brand Call-Log,,,,,,
Havells,7100000891,Havells India Ltd Kar,Brand Call-Log,,,,,,
Godrej,7100000900,Godrej and Boyce Mfg Co  Ltd Kar,Brand Call-Log,,,,,,
Gibson,7100000909,Gibson Innovations Kar,Brand Call-Log,,,,,,
Fortune,7100000918,Fortune Marketing Pvt Ltd Kar,Brand Call-Log,,,,,,
Fenda,7100000926,Fenda Audio India Ltd Kar,Brand Call-Log,,,,,,
Eureka,7100000934,Eureka Forbes Limited Kar,Brand Call-Log,,,,,,
Daikin,7100000945,Daikin Airconditioning(I)Pvt Lt Kar,Brand Call-Log,,,,,,
Creative,7100000953,Creative Peripherals    MH Kar,Brand Call-Log,,,,,,
Compuage,7100000962,Compuage Infocom Limited Kar,Brand Call-Log,,,,,,
Carrier,7100000973,Carrier Midea India Pvt Ltd Kar,Brand Call-Log,,,,,,
Canon,7100000982,Canon India Pvt Ltd Kar,Brand Call-Log,,,,,,
BSH,7100000991,BSH Household Appl Manf Pvt Lt Kar,Brand Call-Log,,,,,,
Brilyant,7100000995,Brilyant Distribution(P)Lt-Aple Kar,Brand Call-Log,,,,,,
Brilyant,7100000997,Brilyant Distribution Pvt Lt-Ac Kar,Brand Call-Log,,,,,,
Brightstar,7100001004,Brightstar Telecommunications Kar,Brand Call-Log,,,,,,
Bluestar,7100001012,Bluestar Limited APS Kar,Brand Call-Log,,,,,,
Bluestar,7100001021,Blue Star Limited Kar,Brand Call-Log,,,,,,
Best IT,7100001030,Best IT World   I  Pvt Ltd Kar,Brand Call-Log,,,,,,
Bajaj,7100001039,Bajaj Electricals Ltd   MH GJ Kar,Brand Call-Log,,,,,,
Bajaj,7100001048,Bajaj Electricals Lt Morphy GJ Kar,Brand Call-Log,,,,,,
Amazon,7100001055,Amazon Seller Services Pvt Ltd Kar,Brand Call-Log,,,,,,
ACER,7100001066,ACER INDIA PRIVATE LIMITED Kar,Brand Call-Log,,,,,,
A O Smith,7100001075,A O Smith (I)Water Products P L Kar,Brand Call-Log,,,,,,
Videocon,7100001084,Videocon Industries Ltd (AC) Kar,Brand Call-Log,,,,,,
Sony,7100001093,Sony India Pvt Ltd   Mobiles Kar,Brand Call-Log,,,,,,
Sony,7100001102,Sony India Pvt Ltd    Gaming Kar,Brand Call-Log,,,,,,
Kay kay,7100001109,Kay Kay Overseas Corporation Kar,Brand Call-Log,,,,,,
Redington,7100001117,Redington (India) Ltd Huawei Kar,Brand Call-Log,,,,,,
Digilife,7100001126,Digilife Dist  Mark Ser L  IMG Kar,Brand Call-Log,,,,,,
Digilife,7100001135,Digilife Dist   Markt Serv Ltd Kar,Brand Call-Log,,,,,,
Nikon,7100001143,Nikon India Private Limited Kar,Brand Call-Log,,,,,,
Tata Tele,7100001150,Tata Teleservices Maharashtra L Kar,Brand Call-Log,,,,,,
Honeywell,7100001156,Honeywell International I PVT L Kar,Brand Call-Log,,,,,,
Kripa,7100001161,Kripa Electronics India Pvt Ltd Kar,Brand Call-Log,,,,,,
Ingram,7100001171,Ingram Micro India Ltd Mob Kar,Brand Call-Log,,,,,,
HP,7100001173,Ingram Micro India Ltd Mob Del,Brand Call-Log,,,,,,
HP,7100001175,Ingram Micro India Ltd Apple Mah,Brand Call-Log,,,,,,
HP,7100001177,Ingram Micro India Ltd Apple Tel,Brand Call-Log,,,,,,
INGRAM,7100001178,Ingram Micro India Ltd Apple Har,Brand Call-Log,,,,,,
Ingram,7100001180,Ingram Micro India Ltd Apple Kar,Brand Call-Log,,,,,,
INGRAM,7100001181,Ingram Micro India Ltd Apple Tam,Brand Call-Log,,,,,,
HP,7100001183,Ingram Micro India Ltd Apple Guj,Brand Call-Log,,,,,,
Videocon,7100001189,Videocon Industries Ltd-Kenstar Kar,Brand Call-Log,,,,,,
RACOLD,7100001193,Ariston Thermo India Pvt Ltd Mah,Brand Call-Log,,,,,,
Ariston,7100001198,Ariston Thermo India Pvt Ltd Kar,Brand Call-Log,,,,,,
Marc,7100001203,Marc Enterprises Pvt Ltd Kar,Brand Call-Log,,,,,,
Intex,7100001211,Intex Technologies India P L-EN Kar,Brand Call-Log,,,,,,
HSIL,7100001220,HSIL Limited Kar,Brand Call-Log,,,,,,
ELGI,7100001226,ELGI ULTRA INDUSTRIES LTD Kar,Brand Call-Log,,,,,,
Drive,7100001233,Drive Ind Enterprise solution L Kar,Brand Call-Log,,,,,,
Hindustan,7100001241,Hindustan Unilever Ltd Kar,Brand Call-Log,,,,,,
Intex,7100001250,Intex Technologies India P L-Mo Kar,Brand Call-Log,,,,,,
Pacetel,7100001259,Pacetel Systems Pvt Ltd Kar,Brand Call-Log,,,,,,
NexG,7100001267,NexG Devices pvt Ltd Kar,Brand Call-Log,,,,,,
Beetel,7100001280,Beetel Teletech Ltd-Apple  Kar,Brand Call-Log,,,,,,
Supertron,7100001288,Supertron Electronics P L Dell Kar,Brand Call-Log,,,,,,
Eltech,7100001293,Eltech Appliances Pvt Ltd Kar,Brand Call-Log,,,,,,
Moksha,7100001301,Moksha Enterprises Kar,Brand Call-Log,,,,,,
MIRC,7100001307,MIRC Electronics Ltd-ENT Kar,Brand Call-Log,,,,,,
Creative,7100001315,Creative Peripherals & distri Kar,Brand Call-Log,,,,,,
Saregama,7100001325,Saregama India Ltd Kar,Brand Call-Log,,,,,,
Xiaomi,7100001333,Xiaomi Technology India Pvt Ltd Kar,Brand Call-Log,,,,,,
Orient,7100001339,Orient Electric Kar,Brand Call-Log,,,,,,
Moksha,7100001347,Moksha Enterprises Kar,Brand Call-Log,,,,,,
Acro,7100001351,Acro Engineering Co Kar,Brand Call-Log,,,,,,
Reliance,7100001363,Reliance Retail LTD Kar,Brand Call-Log,,,,,,
Supertron,7100001370,Supertron Electronics P L Creat Kar,Brand Call-Log,,,,,,
Universal,7100001376,Universal Corp Ltd Duracell Kar,Brand Call-Log,,,,,,
Eveready,7100001384,Eveready Industries India Ltd Kar,Brand Call-Log,,,,,,
Usha,7100001388,Usha International Ltd Kar,Brand Call-Log,,,,,,
Philips,7100001391,Philips lighting  Kar,Brand Call-Log,,,,,,
Ncubate,7100001398,Ncubate India Services Pvt Ltd Kar,Brand Call-Log,,,,,,
Butterfly,7100001404,Butterfly Gandhimathi Appl Lt Kar,Brand Call-Log,,,,,,
Godrej,7100001413,Godrej and Boyce Mfg Co  Ltd Kar,Brand Call-Log,,,,,,
RD PLAST TV,7100001418,RD Plast Pvt Ltd ,Brand Call-Log,,,,,,
SYSCOM,7100001427,Syscom Power Solutions Pvt Ltd,Brand Call-Log,,,,,,
Brightstar,7100001433,Brightstar Telecommunications I Kar,Brand Call-Log,,,,,,
Bose,7100001442,Bose Corporation India Pvt Ltd  Kar,Brand Call-Log,,,,,,
Pacetel,7100001454,Pacetel Systems Pvt Ltd- One+  Kar,Brand Call-Log,,,,,,
JK,7100001463,JK Paper Ltd  Kar,Brand Call-Log,,,,,,
ETA,7100001469,ETA General Pvt Ltd  Kar,Brand Call-Log,,,,,,
Optiemus,7100001478,Optiemus Infracom Ltd Telemart  Kar,Brand Call-Log,,,,,,
Fortune,7100001490,Fortune Marketing Pvt Ltd-ENT  Kar,Brand Call-Log,,,,,,
V.I.P.,7100001496,V.I.P. Industries Ltd  Kar,Brand Call-Log,,,,,,
UNITED,7100001502,UNITED TELELINKS BLR PVT LTD  Kar,Brand Call-Log,,,,,,
Leaf,7100001514,Leaf innovation Pvt Ltd ,Brand Call-Log,,,,,,
IAPL,7100001521,IAPL Group Private Ltd  Kar,Brand Call-Log,,,,,,
Havells,7100001532,Havells India Ltd-AC  Kar,Brand Call-Log,,,,,,
VRP,7100001541,VRP Telematics Pvt Ltd  Kar,Brand Call-Log,,,,,,
VEGO,7100001559,Vego Home Science Pvt Ltd Tel,Brand Call-Log,,,,,,
Vego,7100001560,Vego Home Science Pvt Ltd Kar,Brand Call-Log,,,,,,
Rx,7100001582,Rx Infotech Pvt Ltd Kar,Brand Call-Log,,,,,,
MARSHALL,7100001584,Luxury Personified LLP Har,Brand Call-Log,,,,,,
Fenda,7100001588,Fenda Audio India Pvt Ltd Kar,Brand Call-Log,,,,,,
Super,7100001594,Super Plastronics Pvt Ltd Kar,Brand Call-Log,,,,,,
BOSS,7100001600,0,Brand Call-Log,,,,,,
Bharti,7100001606,Bharti Telemedia Limited Kar,Brand Call-Log,,,,,,
TCL,7100001610,ERA CELL PRIVATE LIMITED Mah,Brand Call-Log,,,,,,
ERA,7100001611,ERA CELL PRIVATE LIMITED Kar,Brand Call-Log,,,,,,
CNS,7100001619,CNS Associates,Brand Call-Log,,,,,,
VU,7100001621,VU Technologies Pvt Ltd ON,Brand Call-Log,,,,,,
Syska,7100001623,SYSKA LED LIGHTS PVT LTD,Brand Call-Log,,,,,,
HAIER,7100001626,Haier Appliances India Pvt Ltd Guj,Brand Call-Log,,,,,,
Haier,7100001627,Haier Appliances India Pvt Ltd Kar,Brand Call-Log,,,,,,
HAIER,7100001628,Haier Appliances India Pvt Ltd Mah,Brand Call-Log,,,,,,
Liebherr,7100001634,Liebherr Appliances India P L Kar,Brand Call-Log,,,,,,
W-SOULED,7100001640,The Souled Store Pvt Ltd ,Brand Call-Log,,,,,,
CROMA,7100001642,DIXON Technologies India Ltd,Brand Call-Log,,,,,,
Faber,7100001654,AAA PEE Appliance,Brand Call-Log,,,,,,
TPV,7100001665,TPV Technology India Pvt Ltd Kar,Brand Call-Log,,,,,,
iRobot,7100001669,Puresight System Pvt Ltd,Brand Call-Log,,,,,,
W-CLOUDWALKRE,7100001672,CloudWalker Streaming Technologies ,Brand Call-Log,,,,,,
TCL,7100001674,Matrix Distribution Private LTD,Brand Call-Log,,,,,,
Nestle,7100001675,Nestle India Limited Kar,Brand Call-Log,,,,,,
Voltbek,7100001678,Voltbek Home Appliances Pvt Ltd Kar,Brand Call-Log,,,,,,
Glen,7100001685,Glen Appliances Pvt,Brand Call-Log,,,,,,
Orient,7100001693,Orient Electric Ltd Kar,Brand Call-Log,,,,,,
Dyson,7100001698,Dyson Technology India Pvt Ltd Kar,Brand Call-Log,,,,,,
Venus,7100001704,Venus Home appliances P Ltd Kar,Brand Call-Log,,,,,,
Universal,7100001714,Universal Digital Connect Ltd Kar,Brand Call-Log,,,,,,
Motorola,7100001723,Motorola Mobility India Pvt Ltd Kar,Brand Call-Log,,,,,,
Envent,7100001795,Envent World wide Pvt Ltd Kar,Brand Call-Log,,,,,,
Ken,7100001800,Ken Lifestyles Pvt Ltd Kar,Brand Call-Log,,,,,,
Singer,7100001823,Singer India Limited Kar,Brand Call-Log,,,,,,
W-iGear ,7100001832,Corporate Gifting Solutions,Brand Call-Log,,,,,,
Dhruv,7100001835,Dhruv Distributors Pvt Ltd Kar,Brand Call-Log,,,,,,
Stove,7100001845,Stove Kraft Ltd Kar,Brand Call-Log,,,,,,
Elica,7100001849,Elica PB India Pvt Ltd Kar,Brand Call-Log,,,,,,
VRP,7100001857,VRP Telematics Pvt Ltd Epson Kar,Brand Call-Log,,,,,,
Samsonite,7100001865,Samsonite South Asia Pvt Ltd Kar,Brand Call-Log,,,,,,
W-Mealthy ,7100001869,Frootle India,Brand Call-Log,,,,,,
W-Dr Trust ,7100001870,Nureca Pvt Ltd ,Brand Call-Log,,,,,,
W-Portronics,7100001871,Portronics Digital Pvt Ltd,Brand Call-Log,,,,,,
AWATCH,7100001874,Apple India Private LTD,Brand Call-Log,,,,,,
W-EGATE,7100001879,Egate infotel Private,Brand Call-Log,,,,,,
Micromax,7100001910,Micromax Informatics Ltd Kar,Brand Call-Log,,,,,,
Elgi,7100001931,Elgi Ultra Ltd Kar,Brand Call-Log,,,,,,
W-Lifelong,7100001940,Origin logistics PVT LTD,Brand Call-Log,,,,,,
William,7100001944,William Penn Pvt Ltd Kar,Brand Call-Log,,,,,,
Bharti,7100001959,Bharti Airtel Services Ltd Kar,Brand Call-Log,,,,,,
Inbase,7100001974,Pacific Impex,Brand Call-Log,,,,,,
Eltech,7100001982,Eltech Appliances Pvt Ltd Kar,Brand Call-Log,,,,,,
W-Portronics,7100001989,Portronics Digital Pvt Ltd Har,Brand Call-Log,,,,,,
W-Mr Beams,7100002001,MR Beams India,Brand Call-Log,,,,,,
Somany,7100002009,Somany Home Innovation Ltd Kar,Brand Call-Log,,,,,,
Acro,7100002052,Acro Engineering Company Kar,Brand Call-Log,,,,,,
Imagine,7100002074,IMAGINE MARKETING PRIVATE LIMITED Kar,Brand Call-Log,,,,,,
Fujifilm,7100002084,Fujifilm India Kar,Brand Call-Log,,,,,,
VRP,7100002095,VRP Telematics Kar,Brand Call-Log,,,,,,
Fujitsu,7100002108,Fujitsu General I Pvt Ltd Kar,Brand Call-Log,,,,,,
Inter,7100002124,Inter Foto India Private Limited Kar,Brand Call-Log,,,,,,
Inter,7100002131,Inter Foto India Pvt Ltd Kar-Consig,Brand Call-Log,,,,,,
SRISHTI,7100002141,SRISHTI DIGILIFE PVT LTD Kar,Brand Call-Log,,,,,,
SRISHTI,7100002148,SRISHTI DIGILIFE PVT LTD Kar-Consig,Brand Call-Log,,,,,,
Halonix,7100002157,Halonix Technologies Pvt Ltd Kar,Brand Call-Log,,,,,,
Signify,7100002173,Signify Innovations India Ltd Kar,Brand Call-Log,,,,,,
Lenovo,7100002180,Lenovo India Pvt Ltd TIS Kar,Brand Call-Log,,,,,,
Flash,7100002189,Flash Distribution Pvt Ltd Kar,Brand Call-Log,,,,,,
Uni,7100002195,Uni One India Pvt Ltd Kar,Brand Call-Log,,,,,,
Franke,7100002206,Franke Faber India Pvt Ltd Kar,Brand Call-Log,,,,,,
Samsung,2000004008,Samsung India Electronics PLtd Kar,Brand Call-Log,,,,,,
Havells,2000004079,Havells India Ltd Kar,Brand Call-Log,,,,,,
Salaveg Vendor,2000002484,SRI MAHDESHWARA,Email Liquidation,,,,,,
Salaveg Vendor,2000002339,SHREYAS ELECTRONICS ,Email Liquidation,,,,,,
Salaveg Vendor,2000005965,E-TECHNIKS,Email Liquidation,,,,,,
Salaveg Vendor,2000006797,Manya Enterprises,Email Liquidation,,,,,,
Salaveg Vendor,2000007346,J.R CLASSIC ENTERPRISES,Email Liquidation,,,,,,
Salaveg Vendor,2000005979,GREEN HOME SOLUTIONS,Email Liquidation,,,,,,
Salaveg Vendor,2000006987,SHAN ENTERPRISES                ,Email Liquidation,,,,,,
Salaveg Vendor,2000007045,Crystal Enterprises,Email Liquidation,,,,,,
Salaveg Vendor,2000007094,SrI Maruti Enterprises ,Email Liquidation,,,,,,
Salaveg Vendor,2000007095,New Royal Traders,Email Liquidation,,,,,,
Salaveg Vendor,2000006798,VC Electronics,Email Liquidation,,,,,,
Salaveg Vendor,2000006787,NOORAIN BUILDING DEMOLISHERS,Email Liquidation,,,,,,
Salaveg Vendor,2000003421,M I ENTERPRISES,Email Liquidation,,,,,,
Salaveg Vendor,2000005102,J.R CLASSIC ENTERPRISES,Email Liquidation,,,,,,
Salaveg Vendor,2000003767,MR ENTER PRISES ,Email Liquidation,,,,,,
Salaveg Vendor,2000003387,COOL CRAFT,Email Liquidation,,,,,,
Salaveg Vendor,2000007111,DHIYARA TECHNOLOGY PRIVATE LIMITED,Email Liquidation,,,,,,
Salaveg Vendor,2000006647,ROSO MULTI TRADING PRIVATE LIMITED,Email Liquidation,,,,,,
Salaveg Vendor,2000006977,GREEN ENABLED IT SOLUTION P. ltd,Email Liquidation,,,,,,
CNS,7100001619,CNS Associates,Brand Call-Log,,,,,,
Leaf,7100001514,Leaf innovation Pvt Ltd,Brand Call-Log,,,,,,
Life Long,7100001940,Lifelong Online Retail Pvt Ltd,Brand Call-Log,,,,,,
Black & Dacker,7100001845,Stove Kraft Ltd Kar,Brand Call-Log,,,,,,
Eufy,7100002170,Moksha Enterprises Mah,Brand Call-Log,,,,,,
Salaveg Vendor,2000007426,R-Planet Integrated Solutions PVT. LTD.,Email Liquidation,,,,,,
,7100001844,Acetron Trade LLP,Brand Call-Log,,,,,,
,7100000026,Global Marketing,Brand Call-Log,,,,,,
,7100000107,Rhythm Corner Alaknanda RCA,Brand Call-Log,,,,,,
,7100000169,Wonder Chef Home Appliances PL,Brand Call-Log,,,,,,
,7100000271,Brand Eyes Distributors Pvt L,Brand Call-Log,,,,,,
,7100000301,Nissan Enterprises Ltd,Brand Call-Log,,,,,,
,7100000334,Bling Accessories Pvt Ltd,Brand Call-Log,,,,,,
,7100000341,Premier Elmech Systems Pvt Ltd,Brand Call-Log,,,,,,
,7100000406,Datamini Technologies India Ltd,Brand Call-Log,,,,,,
,7100000418,Imagine Marketing Pvt Ltd,Brand Call-Log,,,,,,
,7100000446,Bling Accessories Pvt Ltd,Brand Call-Log,,,,,,
,7100000467,Brilyant Distribution Pvt Ltd - Acc,Brand Call-Log,,,,,,
,7100000481,Arvee Enterprise Faber,Brand Call-Log,,,,,,
,7100000520,Amson interconnect Pvt Ltd Consignm,Brand Call-Log,,,,,,
,7100000530,GM Modular Pvt Ltd,Brand Call-Log,,,,,,
,7100000576,Swastik Sales Corporation,Brand Call-Log,,,,,,
,7100000588,Scorpio Enterprise,Brand Call-Log,,,,,,
,7100000599,Whirlpool of India Limited Tel,Brand Call-Log,,,,,,
,7100000602,Whirlpool of India Limited Kar,Brand Call-Log,,,,,,
,7100000604,Whirlpool of India Limited Del,Brand Call-Log,,,,,,
,7100000605,Voltas Limited Mah,Brand Call-Log,,,,,,
,7100000633,V Guard Industries Limited Tel,Brand Call-Log,,,,,,
,7100000636,V Guard Industries Limited Kar,Brand Call-Log,,,,,,
,7100000673,Sony India Private Limited Mah,Brand Call-Log,,,,,,
,7100000678,Sony India Private Limited Kar,Brand Call-Log,,,,,,
,7100000681,Sony India Private Limited Guj,Brand Call-Log,,,,,,
,7100000686,Savex Technologies Pvt Ltd Mah,Brand Call-Log,,,,,,
,7100000687,Savex Technologies Pvt Ltd Tel,Brand Call-Log,,,,,,
,7100000690,Savex Technologies Pvt Ltd Kar,Brand Call-Log,,,,,,
,7100000692,Savex Technologies Pvt Ltd Del,Brand Call-Log,,,,,,
,7100000694,Samsung India Electronics PLtd Mah,Brand Call-Log,,,,,,
,7100000696,Samsung India Electronics PLtd Tel,Brand Call-Log,,,,,,
,7100000698,Samsung India Electronics PLtd Utt,Brand Call-Log,,,,,,
,7100000699,Samsung India Electronics PLtd Kar,Brand Call-Log,,,,,,
,7100000700,Samsung India Electronics PLtd Tam,Brand Call-Log,,,,,,
,7100000702,Samsung India Electronics PLtd Guj,Brand Call-Log,,,,,,
,7100000707,Samsung (I) Electronics Pvt Lt Utt,Brand Call-Log,,,,,,
,7100000709,Samsung (I) Electronics Pvt Lt Tam,Brand Call-Log,,,,,,
,7100000710,Samsung (I) Electronics Pvt Lt Utt,Brand Call-Log,,,,,,
,7100000728,Redington India Ltd Mah,Brand Call-Log,,,,,,
,7100000729,Redington India Ltd Cha,Brand Call-Log,,,,,,
,7100000730,Redington India Ltd Tel,Brand Call-Log,,,,,,
,7100000731,Redington India Ltd Har,Brand Call-Log,,,,,,
,7100000733,Redington India Ltd Kar,Brand Call-Log,,,,,,
,7100000734,Redington India Ltd Tam,Brand Call-Log,,,,,,
,7100000735,Redington India Ltd Del,Brand Call-Log,,,,,,
,7100000736,Redington India Ltd Guj,Brand Call-Log,,,,,,
,7100000737,Rashi Peripherals Pvt Ltd   MH Mah,Brand Call-Log,,,,,,
,7100000744,Rashi Peripherals Pvt Ltd   MH Del,Brand Call-Log,,,,,,
,7100000745,Rashi Peripherals Pvt Ltd   MH Guj,Brand Call-Log,,,,,,
,7100000769,Panasonic India Private Ltd Mah,Brand Call-Log,,,,,,
,7100000771,Panasonic India Private Ltd Tel,Brand Call-Log,,,,,,
,7100000774,Panasonic India Private Ltd Kar,Brand Call-Log,,,,,,
,7100000777,Panasonic India Private Ltd Guj,Brand Call-Log,,,,,,
,7100000778,Moksha Enterprises Mah,Brand Call-Log,,,,,,
,7100000782,Moksha Enterprises Tam,Brand Call-Log,,,,,,
,7100000788,LG Electronics India Pvt Ltd Mah,Brand Call-Log,,,,,,
,7100000790,LG Electronics India Pvt Ltd Tel,Brand Call-Log,,,,,,
,7100000792,LG Electronics India Pvt Ltd Utt,Brand Call-Log,,,,,,
,7100000793,LG Electronics India Pvt Ltd Kar,Brand Call-Log,,,,,,
,7100000796,LG Electronics India Pvt Ltd Guj,Brand Call-Log,,,,,,
,7100000830,Johnson Controls-Hitachi Air Mah,Brand Call-Log,,,,,,
,7100000832,Johnson Controls-Hitachi Air Tel,Brand Call-Log,,,,,,
,7100000837,Johnson Controls-Hitachi Air Del,Brand Call-Log,,,,,,
,7100000838,Johnson Controls-Hitachi Air Guj,Brand Call-Log,,,,,,
,7100000841,Ingram Micro India Pvt Ltd Mah,Brand Call-Log,,,,,,
,7100000843,Ingram Micro India Pvt Ltd Tel,Brand Call-Log,,,,,,
,7100000844,Ingram Micro India Pvt Ltd Har,Brand Call-Log,,,,,,
,7100000846,Ingram Micro India Pvt Ltd Kar,Brand Call-Log,,,,,,
,7100000847,Ingram Micro India Pvt Ltd Tam,Brand Call-Log,,,,,,
,7100000849,Ingram Micro India Pvt Ltd Guj,Brand Call-Log,,,,,,
,7100000886,Havells India Ltd Mah,Brand Call-Log,,,,,,
,7100000888,Havells India Ltd Tel,Brand Call-Log,,,,,,
,7100000890,Havells India Ltd Utt,Brand Call-Log,,,,,,
,7100000891,Havells India Ltd Kar,Brand Call-Log,,,,,,
,7100000894,Havells India Ltd Guj,Brand Call-Log,,,,,,
,7100000934,Eureka Forbes Limited Kar,Brand Call-Log,,,,,,
,7100000937,Eureka Forbes Limited Guj,Brand Call-Log,,,,,,
,7100000957,Compuage Infocom Limited Mah,Brand Call-Log,,,,,,
,7100000959,Compuage Infocom Limited Tel,Brand Call-Log,,,,,,
,7100000962,Compuage Infocom Limited Kar,Brand Call-Log,,,,,,
,7100000964,Compuage Infocom Limited Del,Brand Call-Log,,,,,,
,7100000965,Compuage Infocom Limited Guj,Brand Call-Log,,,,,,
,7100000986,BSH Household Appl Manf Pvt Lt Mah,Brand Call-Log,,,,,,
,7100000991,BSH Household Appl Manf Pvt Lt Kar,Brand Call-Log,,,,,,
,7100000994,BSH Household Appl Manf Pvt Lt Guj,Brand Call-Log,,,,,,
,7100001007,Bluestar Limited APS Mah,Brand Call-Log,,,,,,
,7100001016,Blue Star Limited Mah,Brand Call-Log,,,,,,
,7100001018,Blue Star Limited Tel,Brand Call-Log,,,,,,
,7100001024,Blue Star Limited Guj,Brand Call-Log,,,,,,
,7100001034,Bajaj Electricals Ltd   MH GJ Mah,Brand Call-Log,,,,,,
,7100001036,Bajaj Electricals Ltd   MH GJ Tel,Brand Call-Log,,,,,,
,7100001041,Bajaj Electricals Ltd   MH GJ Del,Brand Call-Log,,,,,,
,7100001043,Bajaj Electricals Lt Morphy GJ Mah,Brand Call-Log,,,,,,
,7100001048,Bajaj Electricals Lt Morphy GJ Kar,Brand Call-Log,,,,,,
,7100001050,Bajaj Electricals Lt Morphy GJ Del,Brand Call-Log,,,,,,
,7100001052,Amazon Seller Services Pvt Ltd Mah,Brand Call-Log,,,,,,
,7100001077,A O Smith (I)Water Products P L Del,Brand Call-Log,,,,,,
,7100001165,Whirlpool of India Limited Mah,Brand Call-Log,,,,,,
,7100001180,Ingram Micro India Pvt L Apple Kar,Brand Call-Log,,,,,,
,7100001258,Pacetel Systems Pvt Ltd Utt,Brand Call-Log,,,,,,
,7100001297,Whirlpool of India Limited Guj,Brand Call-Log,,,,,,
,7100001301,Moksha Enterprises Kar,Brand Call-Log,,,,,,
,7100001321,Saregama India Ltd Mah,Brand Call-Log,,,,,,
,7100001359,Acetron Trade LLP,Brand Call-Log,,,,,,
,7100001427,Syscom Power Solutions Pvt Ltd,Brand Call-Log,,,,,,
,7100001442,Bose Corporation India Pvt Ltd  Kar,Brand Call-Log,,,,,,
,7100001445,Envent World Wide Pvt Ltd-Consign,Brand Call-Log,,,,,,
,7100001514,Leaf Innovation Pvt Ltd,Brand Call-Log,,,,,,
